순위,가수,노래제목,앨범
1,윤하 (YOUNHA),사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
2,LE SSERAFIM (르세라핌),ANTIFRAGILE,ANTIFRAGILE
3,(여자)아이들,Nxde,I love
4,NewJeans,Hype boy,NewJeans 1st EP 'New Jeans'
5,IVE (아이브),After LIKE,After LIKE
6,지코 (ZICO),새삥 (Prod. ZICO) (Feat. 호미들),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
7,임영웅,사랑은 늘 도망가,신사와 아가씨 OST Part.2
8,Crush,Rush Hour (Feat. j-hope of BTS),Rush Hour
9,NewJeans,Attention,NewJeans 1st EP 'New Jeans'
10,임영웅,우리들의 블루스,IM HERO
11,테이,Monologue,Monologue
12,임영웅,다시 만날 수 있을까,IM HERO
13,임영웅,London Boy,Polaroid
14,IVE (아이브),LOVE DIVE,LOVE DIVE
15,BLACKPINK,Shut Down,BORN PINK
16,임영웅,Polaroid,Polaroid
17,임영웅,무지개,IM HERO
18,임영웅,이제 나만 믿어요,내일은 미스터트롯 우승자 특전곡
19,임영웅,아버지,IM HERO
20,BE'O (비오),자격지심 (Feat. ZICO),FIVE SENSES
21,BLACKPINK,Pink Venom,BORN PINK
22,임영웅,A bientot,IM HERO
23,임영웅,손이 참 곱던 그대,IM HERO
24,임영웅,사랑해 진짜,IM HERO
25,임영웅,인생찬가,IM HERO
26,임영웅,연애편지,IM HERO
27,10CM,딱 10CM만,딱 10CM만
28,#안녕,해요 (2022),해요 (2022)
29,임영웅,보금자리,IM HERO
30,WSG워너비 (가야G),그때 그 순간 그대로 (그그그),WSG워너비 1집
31,(여자)아이들,TOMBOY,I NEVER DIE
32,강민경 (다비치),우린 그렇게 사랑해서,우린 그렇게 사랑해서
33,멜로망스,사랑인가 봐,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
34,10CM,그라데이션,5.3
35,주호,내가 아니라도,내가 아니라도
36,정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
37,NewJeans,Cookie,NewJeans 1st EP 'New Jeans'
38,성시경,너의 모든 순간,별에서 온 그대 OST Part.7
39,임한별,떠나보낼 준비해 둘걸 그랬어,떠나보낼 준비해 둘걸 그랬어
40,LE SSERAFIM (르세라핌),FEARLESS,FEARLESS
41,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM),정이라고 하자
42,경서,나의 X에게,나의 X에게
43,WSG워너비 (4FIRE),보고싶었어,WSG워너비 1집
44,싸이 (PSY),That That (prod. & feat. SUGA of BTS),싸다9
45,김민석 (멜로망스),취중고백,취중고백
46,IVE (아이브),ELEVEN,ELEVEN
